,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A
1,E9XIRWCr,2024-12-17,01:00,ARGENTINA - TORNEO BETANO,Atl. Tucuman,Central Cordoba,ROUND 27,1.8,3.4,4.5,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.2,1.62,1.85,2.0,1.21,4.25
2,dn2dujsr,2024-12-17,01:00,ARGENTINA - TORNEO BETANO,Ind. Rivadavia,Dep. Riestra,ROUND 27,1.95,3.25,4.0,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67,2.0,1.85,1.24,3.9
3,6k1eBeD4,2024-12-17,01:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Oriente Petrolero,CLAUSURA ,1.14,7.0,13.0,1.18,4.5,1.01,26.0,1.08,8.0,1.33,3.4,2.0,1.73,1.14,5.75,1.03,9.0
4,vegEoFiJ,2024-12-17,09:30,INDONESIA - LIGA 1,Malut United,PSM Makassar,ROUND 15,2.3,3.0,3.0,1.43,2.6,1.07,8.0,1.38,2.88,2.28,1.58,1.93,1.79,2.45,1.5,1.33,2.9
5,KjW09IqQ,2024-12-17,13:00,INDONESIA - LIGA 1,PSS Sleman,PSIS Semarang,ROUND 15,2.05,3.1,3.4,1.42,2.65,1.04,8.5,1.33,3.1,2.0,1.73,1.85,1.85,1.95,1.8,1.29,3.1
6,YJiFnMOh,2024-12-17,15:00,INDIA - ISL,East Bengal,Punjab,ROUND 13,2.62,3.2,2.45,1.36,3.0,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2,2.5,1.5,1.5,2.5
7,YsfJ88Zo,2024-12-17,18:30,SOUTH AFRICA - PREMIERSHIP,Orlando Pirates,Sekhukhune,ROUND 10,1.52,3.45,7.0,1.53,2.35,1.1,7.0,1.52,2.45,2.75,1.43,2.75,1.41,1.53,2.45,1.1,7.0
8,K4Jx4agT,2024-12-17,19:00,SPAIN - LALIGA2,Albacete,Levante,ROUND 20,2.4,3.3,2.75,1.44,2.63,1.06,10.0,1.3,3.4,2.03,1.83,1.8,1.91,2.38,1.55,1.45,2.68
9,W2BxZJh3,2024-12-17,19:00,SPAIN - LALIGA2,Granada CF,FC Cartagena SAD,ROUND 20,1.4,4.33,7.5,1.36,3.0,1.05,11.0,1.29,3.5,1.98,1.88,2.1,1.67,1.43,2.75,1.11,6.8
10,tU6Y2FO8,2024-12-17,20:00,BOLIVIA - DIVISION PROFESIONAL,GV San Jose,Blooming,CLAUSURA ,1.57,3.6,5.2,1.33,3.25,1.04,12.0,1.22,4.0,1.75,2.05,1.8,1.91,1.63,2.25,1.16,5.25
11,Stql8PzA,2024-12-17,20:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Dungannon,Linfield,ROUND 20,4.33,3.6,1.7,1.32,3.1,1.04,12.0,1.24,3.85,1.83,1.93,1.77,1.97,4.9,1.17,2.16,1.66
12,nVeMkHKr,2024-12-17,20:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Crusaders,ROUND 20,2.75,3.25,2.38,1.33,3.05,1.04,11.5,1.27,3.55,1.93,1.83,1.79,1.95,2.75,1.43,1.58,2.32
13,8URWtE7F,2024-12-17,20:45,SCOTLAND - CHAMPIONSHIP,Airdrieonians,Livingston,ROUND 15,5.5,3.5,1.65,1.44,2.63,1.04,9.0,1.33,3.25,2.05,1.75,2.0,1.73,4.8,1.18,2.2,1.65
14,Uw58bwHj,2024-12-17,21:15,SPAIN - LALIGA2,Cordoba,Eibar,ROUND 20,2.1,3.2,3.4,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83,2.1,1.7,1.3,3.45
15,UDLHPFFk,2024-12-17,21:15,SPAIN - LALIGA2,Zaragoza,R. Oviedo,ROUND 20,2.38,3.1,3.0,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67,2.38,1.55,1.38,3.0
